case,experiment,Dice,Precision,Sensitivity,HD95
pat_018.nii,Baseline,0.9064162343204163,0.8408334010231334,0.9830951137276304,2.8284271247461903
pat_019.nii,Baseline,0.873970484418303,0.8265929034714316,0.9271093359953447,2.449489742783178
pat_020.nii,Baseline,0.8963988072480322,0.8830529751439201,0.9101542283402804,2.0
